CGATS.17										
										
ORIGINATOR	"Advanced Printing Technology Centre (APTEC), http://aptec.hkprinters.org/en/index.html"									
INSTRUMENTATION	"D50, 2 degree, geometry 45/0, no polarisation filter, white backing, according to ISO 13655:2009 M1"									
DESCRIPTOR	APTEC_Flexo_Coated_LinearCTV_2025									
MEASUREMENT_SOURCE	"MeasurementCondition=M1	Filter=D50"									
ILLUMINATION_NAME	D50									
OBSERVER_ANGLE	2									
FILTER	D50									
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"									
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"									
KEYWORD	DEVCALSTD									
DEVCALSTD										
CREATED										
										
NUMBER_OF_FIELDS	11									
BEGIN_DATA_FORMAT										
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT										
										
NUMBER_OF_SETS	1617									
BEGIN_DATA										
171	0	100	20	0	0.31208	0.16057	0.11074	47.05	71.53	6.31
170	0	85	20	0	0.34861	0.2107	0.15124	53.03	58.67	5.41
169	0	70	20	0	0.39451	0.27369	0.19854	59.31	46.56	5.46
168	0	55	20	0	0.45055	0.35108	0.25362	65.83	35.27	6.12
167	0	40	20	0	0.51674	0.44547	0.3157	72.59	24.27	7.56
166	0	30	20	0	0.56703	0.51813	0.36168	77.17	17.31	8.72
165	0	20	20	0	0.62207	0.59828	0.41046	81.74	10.73	10.06
164	0	10	20	0	0.68621	0.69006	0.46186	86.51	4.57	11.92
163	0	0	20	0	0.756	0.79065	0.51706	91.26	-1.29	13.8
90	0	100	10	0	0.31532	0.16167	0.12925	47.19	72.09	1.14
89	0	85	10	0	0.35662	0.21595	0.17868	53.59	58.93	-0.11
88	0	70	10	0	0.40546	0.28164	0.23531	60.04	46.85	-0.54
87	0	55	10	0	0.46472	0.36241	0.30097	66.7	35.54	-0.3
86	0	40	10	0	0.53398	0.4595	0.37512	73.51	24.77	0.55
85	0	30	10	0	0.58666	0.53434	0.42985	78.13	17.95	1.37
84	0	20	10	0	0.6439	0.61654	0.48858	82.73	11.48	2.28
83	0	10	10	0	0.70627	0.70678	0.55118	87.33	5.33	3.33
82	0	0	10	0	0.77885	0.80969	0.61715	92.12	-0.37	4.87
9	0	100	0	0	0.31904	0.16313	0.15003	47.38	72.62	-4.02
8	0	85	0	0	0.36335	0.21973	0.20834	54	59.43	-5.72
7	0	70	0	0	0.41689	0.28979	0.27612	60.76	47.21	-6.5
6	0	55	0	0	0.48007	0.37462	0.35384	67.62	35.85	-6.64
5	0	40	0	0	0.55333	0.47553	0.44173	74.54	25.23	-6.28
4	0	30	0	0	0.60826	0.55217	0.50621	79.17	18.62	-5.86
3	0	20	0	0	0.66829	0.63687	0.57537	83.8	12.3	-5.27
2	0	10	0	0	0.73355	0.72972	0.64964	88.43	6.3	-4.61
1	0	0	0	0	0.80428	0.83081	0.72921	93.05	0.63	-3.91
735	0	100	0	20	0.19409	0.10215	0.09954	38.23	59.3	-5.33
734	0	70	0	20	0.25723	0.18299	0.1777	49.86	38.01	-6.33
733	0	40	0	20	0.34666	0.30304	0.28371	61.92	19.69	-5.77
732	0	20	0	20	0.42051	0.40503	0.368	69.83	9.23	-4.82
731	0	10	0	20	0.46083	0.46152	0.41323	73.64	4.52	-4.26
730	0	0	0	20	0.50435	0.52259	0.4614	77.44	0.12	-3.67
180	10	100	20	0	0.26737	0.13948	0.10895	44.16	66.74	1.88
179	10	85	20	0	0.30057	0.18521	0.1481	50.12	54.01	1.19
178	10	70	20	0	0.34212	0.24269	0.19358	56.36	42.1	1.41
177	10	55	20	0	0.39269	0.31363	0.24602	62.81	30.91	2.28
176	10	40	20	0	0.45183	0.39934	0.30556	69.42	20.16	3.66
175	10	30	20	0	0.49701	0.46571	0.3494	73.91	13.34	4.84
174	10	20	20	0	0.54597	0.53823	0.39585	78.36	6.94	6.12
173	10	10	20	0	0.60266	0.62072	0.44486	82.95	0.98	7.83
172	10	0	20	0	0.65872	0.70463	0.49721	87.22	-4.56	9.05
99	10	100	10	0	0.27078	0.14065	0.12707	44.33	67.4	-3.19
98	10	85	10	0	0.30805	0.18996	0.1747	50.68	54.38	-4.23
97	10	70	10	0	0.35223	0.24992	0.22896	57.07	42.48	-4.47
96	10	55	10	0	0.40613	0.32424	0.29176	63.69	31.3	-4.02
95	10	40	10	0	0.46793	0.41226	0.36265	70.33	20.79	-3.21
94	10	30	10	0	0.51545	0.48078	0.41506	74.87	14.1	-2.38
93	10	20	10	0	0.5665	0.55522	0.47102	79.34	7.82	-1.52
92	10	10	10	0	0.62171	0.63637	0.53085	83.78	1.89	-0.62
91	10	0	10	0	0.68025	0.72224	0.59344	88.08	-3.49	0.26
18	10	100	0	0	0.2729	0.14184	0.14806	44.5	67.52	-8.5
17	10	85	0	0	0.31256	0.193	0.204	51.04	54.52	-9.94
16	10	70	0	0	0.36014	0.25604	0.26786	57.66	42.58	-10.45
15	10	55	0	0	0.41759	0.33364	0.34179	64.45	31.51	-10.37
14	10	40	0	0	0.48287	0.42487	0.42569	71.21	21.17	-10.05
13	10	30	0	0	0.53333	0.4959	0.48797	75.82	14.67	-9.56
12	10	20	0	0	0.58717	0.57287	0.55419	80.34	8.54	-9.04
11	10	10	0	0	0.64523	0.65651	0.62524	84.82	2.78	-8.51
10	10	0	0	0	0.70746	0.74549	0.70305	89.18	-2.4	-8.25
741	10	100	0	20	0.16815	0.08991	0.09779	35.97	55.35	-8.64
740	10	70	0	20	0.22436	0.16321	0.17235	47.39	34.29	-9.36
739	10	40	0	20	0.30539	0.27287	0.27363	59.24	16.52	-8.71
738	10	20	0	20	0.37143	0.36536	0.35376	66.93	6.36	-7.83
737	10	10	0	20	0.40738	0.41629	0.39687	70.61	1.85	-7.36
736	10	0	0	20	0.44765	0.47261	0.44425	74.36	-2.31	-6.91
189	20	100	20	0	0.22692	0.12036	0.10747	41.27	61.83	-2.63
188	20	85	20	0	0.25698	0.16192	0.14493	47.23	49.25	-2.99
187	20	70	20	0	0.29429	0.21431	0.18868	53.42	37.43	-2.61
186	20	55	20	0	0.33954	0.27894	0.23895	59.79	26.39	-1.64
185	20	40	20	0	0.39226	0.35689	0.29585	66.28	15.82	-0.21
184	20	30	20	0	0.43221	0.41675	0.3377	70.65	9.18	0.9
183	20	20	20	0	0.475	0.48148	0.38228	74.92	3	2
182	20	10	20	0	0.52039	0.55039	0.42913	79.06	-2.67	3.07
181	20	0	20	0	0.56955	0.62509	0.47904	83.18	-7.99	4.17
108	20	100	10	0	0.22896	0.12133	0.12587	41.43	62.09	-7.85
107	20	85	10	0	0.26182	0.1653	0.17034	47.66	49.37	-8.44
106	20	70	10	0	0.30157	0.21978	0.22249	54	37.65	-8.51
105	20	55	10	0	0.34964	0.28707	0.28238	60.52	26.71	-7.96
104	20	40	10	0	0.4057	0.36794	0.35083	67.12	16.38	-7.07
103	20	30	10	0	0.44782	0.42979	0.40076	71.54	9.88	-6.27
102	20	20	10	0	0.49304	0.49677	0.45483	75.87	3.83	-5.58
101	20	10	10	0	0.54099	0.5677	0.51309	80.05	-1.62	-5.1
100	20	0	10	0	0.59277	0.64472	0.57317	84.21	-6.8	-4.34
27	20	100	0	0	0.23143	0.12258	0.14656	41.62	62.35	-13.07
26	20	85	0	0	0.26649	0.16825	0.19893	48.04	49.66	-14.06
25	20	70	0	0	0.30916	0.22543	0.26007	54.6	37.92	-14.38
24	20	55	0	0	0.36064	0.29585	0.33073	61.29	27.09	-14.19
