ECI2002     
# 1485 patches, random layout
ORIGINATOR      "System Brunner AG, www.systembrunner.ch, Copyright 2004 System Brunner AG"
DESCRIPTOR      "EUROSB104S"
CREATED	"7/5/2004"  # Time: 19:20
INSTRUMENTATION "GretagMacbeth SpectroScanT, Illumination=D50, ObserverAngle=2 degree, Geometry 45/0, WhiteBase=Absolute, Filter=No, White backing"
PRINT_CONDITIONS        "Offset printing, according to Eurostandard System Brunner specification, within ISO 12647-2:2004 tolerances, paper type coated/semi-matte, 115 g/m2, TVI 15%, screen ruling 60 L/cm, for further information see documentation"
KEYWORD	"SampleID"
KEYWORD	"SAMPLE_NAME"
NUMBER_OF_FIELDS	8
BEGIN_DATA_FORMAT
SampleID	SAMPLE_NAME	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	1485						
BEGIN_DATA							
810	A1	39.55	38.65	30.11	68.50	7.27	2.75
1369	A2	9.40	9.97	8.32	37.78	-1.67	-0.39
1393	A3	1.69	1.81	1.48	14.44	-1.38	0.14
1427	A4	77.41	77.96	64.38	90.76	4.53	-0.07
1387	A5	2.14	2.34	2.02	17.16	-2.49	-0.91
1377	A6	57.67	59.89	54.50	81.78	-0.20	-5.61
558	A7	6.21	5.00	5.22	26.74	16.19	-6.02
1381	A8	48.49	50.36	46.05	76.29	-0.18	-5.56
1394	A9	2.37	2.47	2.02	17.78	-0.19	0.17
1434	A10	69.30	69.82	57.90	86.91	4.31	-0.31
1388	A11	3.56	3.74	3.08	22.80	-0.77	0.06
1392	A12	17.43	18.09	16.65	49.60	-0.07	-4.21
1382	A13	5.19	5.48	4.55	28.07	-1.16	-0.14
93	A14	58.98	57.29	50.31	80.34	9.19	-3.50
230	A15	13.11	15.86	27.12	46.79	-13.56	-29.77
1430	A16	70.42	70.58	63.40	87.28	5.11	-5.13
1395	A17	3.42	3.52	3.06	22.02	0.41	-1.14
1376	A18	46.82	48.31	43.52	75.02	0.67	-4.68
1389	A19	5.94	6.14	5.43	29.77	0.24	-1.86
1380	A20	39.14	40.47	36.81	69.80	0.39	-4.90
1424	A21	75.11	77.39	68.05	90.50	1.01	-3.95
1385	A22	26.00	26.87	24.67	58.85	0.38	-4.70
