ECI2002 Enhanced for System Brunner     
# 1584 patches, random layout
ORIGINATOR      "System Brunner AG, www.systembrunner.ch, Copyright 2004 System Brunner AG"
DESCRIPTOR      "EUROSB204L"
CREATED	"7/5/2004"  # Time: 19:26
INSTRUMENTATION "GretagMacbeth SpectroScanT, Illumination=D50, ObserverAngle=2 degree, Geometry 45/0, WhiteBase=Absolute, Filter=No, White backing"
PRINT_CONDITIONS        "Offset printing, according to Eurostandard System Brunner specification, within ISO 12647-2:2004 tolerances, LWC woodpulp paper, 80 g/m2, TVI 15%, screen ruling 60 L/cm, for further information see documentation"
KEYWORD	"SampleID"
KEYWORD	"SAMPLE_NAME"
NUMBER_OF_FIELDS	8
BEGIN_DATA_FORMAT
SampleID	SAMPLE_NAME	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	1584
BEGIN_DATA
1	A1	37.74	37.12	28.39	67.37	6.38	3.59
2	A2	9.25	10.06	8.45	37.95	-3.69	-0.55
3	A3	1.95	2.11	1.70	16.06	-1.91	0.49
4	A4	73.41	74.27	58.92	89.05	3.75	2.34
5	A5	2.39	2.66	2.26	18.64	-3.48	-0.55
6	A6	54.64	57.11	50.53	80.24	-1.06	-3.92
7	A7	6.26	5.22	5.45	27.34	14.20	-6.14
8	A8	45.86	47.93	42.70	74.78	-0.99	-4.07
9	A9	2.69	2.86	2.31	19.48	-1.33	0.40
10	A10	65.89	66.68	53.48	85.34	3.59	1.63
11	A11	3.88	4.19	3.42	24.28	-2.29	0.25
12	A12	16.60	17.32	15.74	48.66	-0.58	-3.66
13	A13	5.44	5.92	4.91	29.21	-3.10	-0.16
14	A14	55.80	54.48	46.48	78.74	8.30	-1.85
15	A15	12.83	16.02	26.61	47.00	-16.28	-28.54
16	A16	66.76	67.23	58.04	85.62	4.31	-2.68
17	A17	3.67	3.85	3.32	23.17	-0.72	-0.98
18	A18	44.43	46.33	40.73	73.76	-0.70	-3.32
19	A19	6.20	6.56	5.74	30.79	-1.37	-1.61
20	A20	36.96	38.61	34.33	68.47	-0.89	-3.68
21	A21	71.10	73.66	62.07	88.76	0.18	-1.29
22	A22	24.83	25.94	23.28	57.98	-0.76	-3.63
23	A23	13.91	14.80	13.01	45.36	-2.24	-2.27
24	A24	13.99	14.61	13.27	45.10	-0.63	-3.43
25	A25	71.34	73.76	63.92	88.81	0.46	-2.99
26	A26	6.88	7.16	6.50	32.16	-0.24	-2.72
27	A27	26.60	30.90	34.68	62.42	-12.52	-14.62
28	A28	52.77	55.63	49.83	79.40	-2.21	-4.58
29	A29	69.54	72.42	56.76	88.17	-0.62	3.04
30	A30	27.51	28.99	26.26	60.77	-1.74	-4.20
31	A31	15.97	16.83	15.37	48.04	-1.47	-3.83
32	A32	23.69	24.96	22.49	57.04	-1.65	-3.75
33	A33	78.74	81.65	68.55	92.42	0.02	-1.10
34	B1	3.86	3.11	8.47	20.49	13.69	-30.75
35	B2	17.38	12.69	2.58	42.29	31.21	37.51
36	B3	6.00	7.51	16.95	32.94	-12.84	-33.65
37	B4	51.94	51.32	28.42	76.87	6.54	19.91
38	B5	9.65	17.91	17.90	49.39	-49.73	-7.44
39	B6	8.86	17.31	12.16	48.65	-53.05	5.80
40	B7	55.37	50.30	26.10	76.25	17.96	22.77
41	B8	6.15	9.15	8.43	36.27	-25.56	-3.37
42	B9	19.56	14.01	11.18	44.25	34.07	1.14
43	B10	3.05	3.05	3.52	20.26	1.80	-7.38
44	B11	7.69	5.68	12.86	28.58	23.11	-30.79
45	B12	18.95	13.71	8.46	43.82	32.88	9.51
46	B13	4.76	6.81	9.67	31.37	-20.72	-16.21
47	B14	27.27	26.46	14.59	58.47	7.21	16.12
48	B15	8.00	16.44	8.04	47.55	-55.84	17.51
49	B16	20.20	11.29	7.47	40.06	55.31	6.84
50	B17	44.59	52.22	23.80	77.41	-15.97	28.89
51	B18	21.15	12.03	11.30	41.26	54.72	-4.37
52	B19	14.87	24.82	20.12	56.90	-46.07	0.73
53	B20	7.35	5.58	11.28	28.33	20.97	-26.62
54	B21	29.10	31.15	4.08	62.63	-3.54	62.18
55	B22	12.71	7.25	8.66	32.38	45.92	-10.92
56	B23	16.94	20.92	3.91	52.86	-16.76	46.34
57	B24	6.33	4.34	8.84	24.75	26.01	-24.73
58	B25	4.67	9.48	3.79	36.89	-45.68	19.57
59	B26	30.16	18.83	9.28	50.49	52.83	18.10
60	B27	32.73	35.53	11.67	66.16	-5.36	37.45
61	B28	13.75	10.23	8.72	38.26	27.32	-1.00
62	B29	13.35	18.94	9.85	50.62	-28.50	16.38
63	B30	26.23	18.64	20.01	50.26	38.39	-10.49
64	B31	41.88	42.63	5.09	71.30	2.37	71.46
65	B32	2.13	1.77	1.45	14.23	10.08	0.10
66	B33	6.83	12.93	9.39	42.66	-46.00	4.21
67	C1	9.19	13.75	3.80	43.87	-29.64	31.55
68	C2	23.50	23.52	24.56	55.60	3.72	-10.10
69	C3	7.43	9.16	3.10	36.29	-12.64	23.18
70	C4	25.55	19.25	14.79	50.98	32.46	2.71
71	C5	5.88	5.05	3.36	26.88	11.97	5.12
72	C6	14.16	8.59	14.50	35.19	43.17	-23.77
73	C7	26.54	16.76	11.93	47.95	49.59	5.29
74	C8	14.03	14.50	16.67	44.94	0.30	-12.29
75	C9	20.21	21.09	7.45	53.05	-0.61	29.31
76	C10	12.60	16.89	20.36	48.12	-22.62	-14.91
77	C11	14.78	22.61	25.44	54.67	-37.04	-13.28
78	C12	21.73	22.36	14.20	54.41	0.78	10.13
79	C13	8.79	10.16	10.47	38.13	-8.29	-7.17
80	C14	14.91	11.35	8.17	40.17	26.29	4.31
81	C15	13.73	8.41	12.65	34.83	41.99	-19.41
82	C16	4.27	5.17	3.68	27.22	-9.36	3.58
83	C17	12.62	19.10	16.75	50.80	-34.08	-2.37
84	C18	15.89	13.59	10.61	43.64	17.04	1.87
85	C19	37.47	39.82	19.61	69.34	-2.98	23.24
86	C20	33.65	23.79	11.49	55.88	42.19	20.27
87	C21	8.95	14.26	20.27	44.60	-34.84	-20.78
88	C22	34.94	28.21	25.08	60.08	28.54	-3.31
89	C23	20.18	23.71	7.56	55.80	-12.62	33.63
90	C24	14.83	14.92	22.59	45.52	2.71	-23.81
91	C25	44.19	41.68	8.33	70.65	12.00	56.27
92	C26	1.67	1.71	2.01	13.87	0.70	-6.49
93	C27	12.46	18.02	4.66	49.52	-29.66	36.22
