ISO28178
FILE_DESCRIPTOR	"FOGRA52"
ORIGINATOR	"Fogra, www.fogra.org, developed with GMG GmbH & Co. KG, Heidelberger Druckmaschinen AG"
CREATED	"May 2015"
TARGET_TYPE	"ISO12642-2"
INSTRUMENTATION	"D50, 2 degree, geometry 45/0, no polarisation filter, white backing, according to ISO 13655:2009 M1"
PRINT_CONDITIONS	"Offset printing, according to ISO 12647-2:2013, OFCOM, print substrate 5 = Wood-free uncoated, fluorescence high (> 14 DeltaB according to ISO 15397), 120 g/m2, tone value increase curves C (CMYK)"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"M1"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"

# The following flag is intended to improve compatibility with legacy devices.
KEYWORD	"TRACEABILITY"
TRACEABILITY	"NIST"

NUMBER_OF_FIELDS	8
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	1617
BEGIN_DATA
1	0	0	0	0	93.50	2.50	-10.00
2	0	10	0	0	87.84	10.05	-10.46
3	0	20	0	0	82.74	17.07	-10.66
4	0	30	0	0	78.06	23.70	-10.61
5	0	40	0	0	73.74	30.00	-10.32
6	0	55	0	0	67.80	39.21	-9.60
7	0	70	0	0	62.30	47.89	-8.22
8	0	85	0	0	57.60	55.31	-6.22
9	0	100	0	0	54.54	60.07	-4.30
10	10	0	0	0	88.67	-1.16	-15.51
11	10	10	0	0	83.36	5.91	-15.71
12	10	20	0	0	78.55	12.48	-15.69
13	10	30	0	0	74.13	18.69	-15.49
14	10	40	0	0	70.02	24.58	-15.08
15	10	55	0	0	64.43	33.15	-14.16
16	10	70	0	0	59.19	41.31	-12.69
17	10	85	0	0	54.66	48.36	-10.74
18	10	100	0	0	51.67	52.96	-8.93
19	20	0	0	0	84.29	-4.47	-20.44
20	20	10	0	0	79.29	2.17	-20.40
21	20	20	0	0	74.76	8.33	-20.19
22	20	30	0	0	70.57	14.15	-19.84
23	20	40	0	0	66.67	19.68	-19.34
24	20	55	0	0	61.40	27.65	-18.21
25	20	70	0	0	56.42	35.28	-16.64
26	20	85	0	0	52.07	41.96	-14.69
27	20	100	0	0	49.17	46.36	-12.96
28	30	0	0	0	80.24	-7.50	-24.94
29	30	10	0	0	75.53	-1.25	-24.68
30	30	20	0	0	71.25	4.53	-24.30
31	30	30	0	0	67.29	9.98	-23.81
32	30	40	0	0	63.58	15.17	-23.20
33	30	55	0	0	58.63	22.56	-21.87
34	30	70	0	0	53.91	29.68	-20.18
35	30	85	0	0	49.75	35.95	-18.21
36	30	100	0	0	46.94	40.15	-16.52
37	40	0	0	0	76.45	-10.28	-29.09
38	40	10	0	0	72.02	-4.41	-28.63
39	40	20	0	0	67.98	1.02	-28.09
40	40	30	0	0	64.23	6.14	-27.46
41	40	40	0	0	60.71	10.99	-26.76
42	40	55	0	0	56.06	17.83	-25.22
43	40	70	0	0	51.61	24.43	-23.39
44	40	85	0	0	47.65	30.29	-21.37
45	40	100	0	0	44.95	34.24	-19.69
46	55	0	0	0	71.16	-14.26	-34.98
47	55	10	0	0	67.16	-8.79	-34.07
48	55	20	0	0	63.52	-3.74	-33.13
49	55	30	0	0	60.12	1.02	-32.16
50	55	40	0	0	56.92	5.55	-31.14
51	55	55	0	0	52.80	11.83	-29.39
52	55	70	0	0	48.83	17.92	-27.40
53	55	85	0	0	45.28	23.39	-25.30
54	55	100	0	0	42.84	27.13	-23.62
55	70	0	0	0	66.13	-17.82	-40.45
56	70	10	0	0	62.55	-12.77	-39.12
57	70	20	0	0	59.27	-8.11	-37.83
