ISO28178
FILE_DESCRIPTOR	"FOGRA53"
ORIGINATOR	"Fogra. www.fogra.org"
CREATED	"July 2017"
TARGET_TYPE	"ISO12642-2"
INSTRUMENTATION	"Measurement according to ISO 13655:2009, M1, 0/45 or 45/0 geometry, white backing, CIELAB (2° observer, D50)"
PRINT_CONDITIONS	"Large gamut colour exchange space"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"M1"
WEIGHTING_FUNCTION	"ILLUMINANT. D50"
WEIGHTING_FUNCTION	"OBSERVER. 2 degree"

# The following flag is intended to improve compatibility with legacy devices.
KEYWORD	"TRACEABILITY"
TRACEABILITY	"NIST"

NUMBER_OF_FIELDS	8
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	1617
BEGIN_DATA
1	0	100	20	0	52.69	80.14	2.04
2	0	85	20	0	57.28	72.33	2.38
3	0	70	20	0	63.42	61.58	2.94
4	0	55	20	0	70.17	49.54	4.02
5	0	40	20	0	76.93	37.47	5.61
6	0	30	20	0	81.23	29.61	6.90
7	0	20	20	0	85.76	20.43	9.25
8	0	10	20	0	90.66	9.91	12.57
9	0	0	20	0	95.87	-1.17	16.56
10	0	100	10	0	52.38	80.31	-3.34
11	0	85	10	0	57.11	72.46	-4.01
12	0	70	10	0	63.44	61.71	-4.51
13	0	55	10	0	70.38	49.73	-4.15
14	0	40	10	0	77.31	37.75	-3.07
15	0	30	10	0	81.74	29.99	-1.99
16	0	20	10	0	86.30	20.98	0.04
17	0	10	10	0	91.16	10.70	3.11
18	0	0	10	0	96.24	-0.13	6.84
19	0	100	0	0	52.00	80.29	-7.37
20	0	85	0	0	56.95	72.44	-10.18
21	0	70	0	0	63.50	61.72	-12.35
22	0	55	0	0	70.57	49.80	-12.44
23	0	40	0	0	77.63	37.95	-11.82
24	0	30	0	0	82.15	30.31	-11.08
25	0	20	0	0	86.76	21.50	-9.48
26	0	10	0	0	91.64	11.44	-6.70
27	0	0	0	0	96.50	1.00	-3.00
28	0	100	0	20	45.08	69.94	-10.39
29	0	70	0	20	54.97	53.38	-10.21
30	0	40	0	20	66.87	33.39	-9.21
31	0	20	0	20	74.84	19.00	-7.46
32	0	10	0	20	79.37	9.88	-5.51
33	0	0	0	20	83.69	0.81	-2.50
34	10	100	20	0	48.08	73.73	-4.25
35	10	85	20	0	52.54	66.02	-3.85
36	10	70	20	0	58.54	55.45	-3.21
37	10	55	20	0	65.15	43.66	-2.02
38	10	40	20	0	71.81	31.82	-0.29
39	10	30	20	0	76.07	24.10	1.04
40	10	20	20	0	80.67	15.08	3.29
41	10	10	20	0	85.90	4.72	6.33
42	10	0	20	0	91.95	-6.35	10.06
43	10	100	10	0	48.36	74.42	-10.26
44	10	85	10	0	52.96	66.68	-10.46
45	10	70	10	0	59.12	56.10	-10.44
46	10	55	10	0	65.91	44.33	-9.78
47	10	40	10	0	72.72	32.57	-8.62
48	10	30	10	0	77.10	24.94	-7.56
49	10	20	10	0	81.69	16.05	-5.64
50	10	10	10	0	86.78	5.91	-2.86
51	10	0	10	0	92.46	-4.85	0.53
52	10	100	0	0	48.82	75.32	-16.25
53	10	85	0	0	53.53	67.56	-16.93
54	10	70	0	0	59.82	56.99	-17.50
55	10	55	0	0	66.72	45.27	-17.41
56	10	40	0	0	73.66	33.59	-16.81
57	10	30	0	0	78.10	26.03	-16.12
58	10	20	0	0	82.70	17.24	-14.56
59	10	10	0	0	87.66	7.24	-12.16
60	10	0	0	0	92.97	-3.20	-8.77
61	10	100	0	20	42.17	65.56	-14.89
62	10	70	0	20	51.83	49.24	-14.62
63	10	40	0	20	63.49	29.48	-13.60
