ISO28178
FILE_DESCRIPTOR	"FOGRA54"
ORIGINATOR	"Fogra. www.fogra.org. developed by Fogra and GMG GmbH & Co. KG"
CREATED	"July 2017"
TARGET_TYPE	"ISO12642-2"
INSTRUMENTATION	"Measurement according to ISO 13655:2009, M1, 0/45 or 45/0 geometry, white backing, CIELAB (2° observer, D50)"
PRINT_CONDITIONS	"Offset printing, based on ISO 12647-2:2013, Print substrate PS6 (super calendered uncoated. SC-B). TVI curves B (CMYK)."
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"M1"
WEIGHTING_FUNCTION	"ILLUMINANT. D50"
WEIGHTING_FUNCTION	"OBSERVER. 2 degree"

# The following flag is intended to improve compatibility with legacy devices.
KEYWORD	"TRACEABILITY"
TRACEABILITY	"NIST"

NUMBER_OF_FIELDS	8
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	1617
BEGIN_DATA
1	0	0	0	0	88.30	-0.50	4.20
2	0	10	0	0	83.63	6.43	2.11
3	0	20	0	0	79.03	13.20	0.54
4	0	30	0	0	74.66	19.64	-0.73
5	0	40	0	0	70.45	26.05	-1.57
6	0	55	0	0	64.30	35.82	-2.52
7	0	70	0	0	58.31	45.80	-2.91
8	0	85	0	0	53.05	55.16	-2.89
9	0	100	0	0	49.10	61.70	-1.40
10	10	0	0	0	84.61	-4.25	-0.84
11	10	10	0	0	80.13	2.16	-2.67
12	10	20	0	0	75.70	8.63	-3.96
13	10	30	0	0	71.46	14.94	-5.02
14	10	40	0	0	67.23	21.26	-5.83
15	10	55	0	0	61.52	30.71	-6.72
16	10	70	0	0	56.05	39.90	-7.09
17	10	85	0	0	50.94	48.87	-7.19
18	10	100	0	0	46.98	55.90	-5.98
19	20	0	0	0	80.83	-7.56	-5.74
20	20	10	0	0	76.74	-1.48	-7.15
21	20	20	0	0	72.54	4.67	-8.26
22	20	30	0	0	68.42	10.70	-9.23
23	20	40	0	0	64.32	16.83	-9.93
24	20	55	0	0	58.71	26.03	-10.74
25	20	70	0	0	53.30	35.22	-11.09
26	20	85	0	0	48.43	44.06	-11.28
27	20	100	0	0	44.96	50.29	-10.39
28	30	0	0	0	77.17	-10.62	-10.26
29	30	10	0	0	73.20	-5.01	-11.50
30	30	20	0	0	69.28	0.90	-12.41
31	30	30	0	0	65.44	6.83	-13.08
32	30	40	0	0	61.48	12.76	-13.78
33	30	55	0	0	56.00	21.82	-14.58
34	30	70	0	0	50.78	30.63	-14.87
35	30	85	0	0	46.06	39.09	-15.04
36	30	100	0	0	42.50	45.74	-13.94
37	40	0	0	0	73.61	-13.61	-14.70
38	40	10	0	0	69.73	-8.43	-15.87
39	40	20	0	0	66.12	-2.82	-16.54
40	40	30	0	0	62.59	2.79	-16.99
41	40	40	0	0	58.85	8.42	-17.59
42	40	55	0	0	53.42	17.28	-18.43
43	40	70	0	0	48.23	25.83	-18.84
44	40	85	0	0	43.71	33.97	-18.95
45	40	100	0	0	40.33	40.83	-17.50
46	55	0	0	0	68.29	-18.16	-20.99
47	55	10	0	0	64.79	-13.36	-21.82
48	55	20	0	0	61.40	-8.19	-22.34
49	55	30	0	0	58.26	-2.98	-22.54
50	55	40	0	0	55.07	2.20	-22.88
51	55	55	0	0	49.62	10.46	-23.80
52	55	70	0	0	44.33	18.89	-24.34
53	55	85	0	0	40.30	26.55	-24.38
54	55	100	0	0	37.49	32.61	-22.74
55	70	0	0	0	63.07	-22.82	-27.23
56	70	10	0	0	60.04	-18.45	-27.80
57	70	20	0	0	56.80	-13.80	-28.23
58	70	30	0	0	53.95	-8.90	-28.18
59	70	40	0	0	51.16	-4.05	-28.22
