ISO28178										
ORIGINATOR	"WAN-IFRA. www.wan-ifra.org"									
DESCRIPTOR	"Ifra26L"									
CREATED	"30.06.2004"									
INSTRUMENTATION	"GRETAGMACBETH SpectroScan. D50. 2 degree. geometry 45/0. no polarisation filter. white backing"
PRINT_CONDITIONS	"Newspaper Coldset-Offset printing according to ISO/DIS 12647-3:2004. standard newsprint. screen ruling 40 l/cm ± 2 l/cm"
NUMBER_OF_FIELDS	11									
BEGIN_DATA_FORMAT										
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT										
NUMBER_OF_SETS	1485									
BEGIN_DATA										
1	0	0	0	0	64.42	66.4	50.04	85.2	0.9	5.18
2	0	10	0	0	58.58	57.39	44.51	80.4	7.96	3.39
3	0	20	0	0	53.37	49.54	39.4	75.79	14.91	1.92
4	0	30	0	0	49.16	43.32	35.09	71.77	21.14	0.91
5	0	40	0	0	45.49	38.03	31.26	68.05	26.97	0.18
6	0	55	0	0	41.21	32.06	26.63	63.39	34.45	-0.33
7	0	70	0	0	38.07	27.82	23.12	59.73	40.4	-0.32
8	0	85	0	0	36.11	25.21	20.75	57.28	44.52	0.09
9	0	100	0	0	34.74	23.42	19	55.5	47.62	0.68
10	10	0	0	0	55.71	59.07	48.67	81.33	-3.09	0.06
11	10	10	0	0	50.94	51.37	43.25	76.9	3.76	-1.09
12	10	20	0	0	46.53	44.49	38.38	72.55	10.49	-2.29
13	10	30	0	0	42.93	39.02	34.29	68.76	16.43	-3.13
14	10	40	0	0	39.78	34.38	30.69	65.26	21.97	-3.74
15	10	55	0	0	36.12	29.1	26.28	60.87	29.08	-4.06
16	10	70	0	0	33.44	25.38	23	57.44	34.74	-4.03
17	10	85	0	0	31.74	23.05	20.76	55.12	38.65	-3.64
18	10	100	0	0	30.53	21.42	19.09	53.4	41.63	-3.13
19	20	0	0	0	48.14	52.57	47.35	77.62	-6.88	-4.8
20	20	10	0	0	44.07	45.79	42.09	73.41	-0.23	-5.66
21	20	20	0	0	40.45	39.89	37.43	69.39	6.24	-6.46
22	20	30	0	0	37.36	35.05	33.52	65.79	11.95	-7.11
23	20	40	0	0	34.67	30.98	30.09	62.49	17.24	-7.57
24	20	55	0	0	31.56	26.36	25.93	58.37	24	-7.76
