ISO28178
ORIGINATOR	"X-Rite, Inc."
FILE_DESCRIPTOR	"Japan Color 2011 for Sheet-fed Offset based on ISO 12647-2"
CREATED	"2011/03/05"
INSTRUMENTATION	"i1iO"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"
NUMBER_OF_FIELDS	9
BEGIN_DATA_FORMAT							
SAMPLE_NO	SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT							
NUMBER_OF_SETS	1617							
BEGIN_DATA								
1	722	100	10	100	0	44.994483	-64.766541	19.915105
2	1410	0	100	100	70	25.042517	36.335729	21.928821
3	873	100	100	40	20	19.257041	8.573024	-28.180500
4	427	20	30	55	0	71.268482	5.088915	26.356588
5	579	10	20	85	0	77.435190	1.864988	61.616203
6	1453	40	0	3	3	76.648452	-13.454154	-17.703825
7	938	70	70	100	20	33.887766	1.790451	18.858329
8	672	20	55	100	0	59.468902	21.024910	56.716632
9	1251	40	100	100	80	17.468388	20.029829	11.452791
10	366	40	55	40	0	55.181493	14.804029	0.514671
11	224	70	85	20	0	35.192137	23.478269	-26.156269
12	508	20	30	70	0	70.721019	4.192273	38.629727
13	875	0	10	70	20	75.250603	0.328436	48.803360
14	968	100	40	0	40	32.363689	-14.575698	-38.619217
15	61	70	70	0	0	41.509473	15.640631	-35.788900
16	165	0	20	20	0	84.099029	10.560522	10.959293
17	1164	70	70	70	60	24.498564	3.542854	1.481855
18	130	55	30	10	0	60.835797	-4.821304	-23.141230
19	1067	100	20	100	40	33.101274	-44.846482	13.412178
20	649	0	0	100	0	89.149656	-6.336570	93.780981
21	782	20	70	10	20	48.710738	33.427484	-8.652628
22	778	20	0	10	20	75.061683	-7.172845	-2.988387
23	1206	70	70	0	80	19.164657	8.922450	-16.098602
24	888	20	20	70	20	65.390257	-2.017244	36.021701
25	141	70	55	10	0	46.554517	4.043843	-30.572572
26	923	20	10	100	20	67.463788	-8.443888	66.565026
27	555	85	55	70	0	39.811184	-17.487074	-2.111044
28	691	40	70	100	0	47.628688	21.575714	38.854563
29	553	85	30	70	0	47.370158	-33.051067	2.670932
30	612	40	100	85	0	36.182353	48.902254	18.208238
31	1100	0	100	20	60	27.688274	46.291811	1.577118
32	1523	10	20	20	10	75.210162	5.796514	5.249668
33	1030	20	100	70	40	31.225077	45.762209	13.829592
34	961	70	0	0	40	49.823387	-18.098251	-27.078022
35	1594	70	10	40	10	56.718597	-25.823618	-8.063859
36	85	0	30	10	0	80.180155	17.761445	2.336468
37	1411	40	40	0	70	33.005262	6.357135	-12.948162
38	509	20	40	70	0	66.580834	11.043531	35.496401
39	738	10	20	0	20	71.291474	7.568427	-8.088900
40	1492	0	10	10	10	83.217292	5.100061	4.635792
41	1010	40	100	40	40	27.647521	40.450399	-3.837597
42	503	10	85	70	0	50.729253	51.184600	27.692184
43	321	100	55	30	0	36.468020	-20.168581	-34.403802
44	188	20	85	20	0	48.707406	49.677170	-4.693781
45	1319	0	25	0	0	82.927652	15.796060	-4.636390
46	1022	0	20	70	40	61.186523	4.350618	38.664804
47	114	30	55	10	0	59.184495	22.862954	-12.958309
48	1152	20	20	70	60	45.358997	-1.744683	24.767799
49	636	85	55	85	0	39.305132	-20.095234	8.155631
50	1083	40	40	0	60	38.259276	6.747711	-14.629894
51	791	70	10	10	20	54.620761	-18.511544	-25.674695
52	500	10	40	70	0	69.744106	15.748584	40.477196
53	310	85	30	30	0	49.386952	-23.821482	-25.262139
54	944	100	70	100	20	26.831426	-25.206423	4.820834
55	1002	20	20	40	40	57.112676	-0.016046	11.334813
56	1557	20	70	10	10	51.984908	35.722248	-8.989877
57	577	10	0	85	0	85.673019	-10.685351	69.990329
58	389	85	10	40	0	54.469600	-36.270182	-16.897239
59	977	20	20	20	40	57.715651	1.731321	0.276801
60	998	0	40	40	40	55.775011	15.823171	15.229528
61	790	70	0	10	20	57.433864	-23.307743	-25.181052
62	331	0	70	40	0	60.567591	45.411901	16.109499
63	1114	70	70	20	60	24.863325	8.875720	-16.899092
64	542	70	10	70	0	58.759948	-32.851731	15.650506
65	1139	70	70	40	60	24.544165	6.711697	-10.418072
66	171	0	100	20	0	46.749638	74.189551	4.955472
67	1550	20	20	70	10	69.799824	-1.971922	38.674485
68	418	10	30	55	0	74.620216	9.504769	31.252529
69	681	30	55	100	0	56.476419	15.993264	51.347565
70	1210	100	70	0	80	16.101845	0.191499	-21.941998
71	1172	0	20	100	60	48.726416	2.424108	50.956436
72	236	100	10	20	0	49.305543	-39.658775	-38.986048
73	1249	40	40	100	80	26.687231	-0.390003	21.870196
74	741	10	100	0	20	38.274237	62.816708	-8.326284
75	1526	10	40	0	10	67.958201	19.875317	-9.995372
76	1549	20	20	40	10	71.053770	0.220262	14.732332
77	1589	70	0	40	10	59.913734	-30.869796	-6.551299
